"BehaviorSpace results (NetLogo 5.3.1)"
"B03A02.nlogo"
"experiment"
"11/09/2016 23:42:28:982 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","2","3"
"world-size","20","20","20"
"bean-count","200","1681","5000"
"[reporter]","entropy","entropy","entropy"
"[final]","7.523856189774741","9.884061893812719","10.445865225342832"
"[min]","0","0","0"
"[max]","7.613856189774741","9.929288444406954","10.458377382705951"
"[mean]","7.3480209870543565","9.368427717073766","9.829491401297885"
"[steps]","500","500","500"

"[all run data]","entropy","entropy","entropy"
,"7.1036606896881995","8.212491286342974","8.35194078640484"
,"6.983660689688199","8.245772376133871","8.392021605845866"
,"6.98674029976193","8.243110399989956","8.423419834392206"
,"7.05875843973147","8.267072255073483","8.456837075190727"
,"7.069886252177384","8.29244500802261","8.49086970315198"
,"7.1525328772422885","8.353509378604835","8.509434263341804"
,"7.072532877242288","8.34895220335105","8.529616035824983"
,"7.005612487316017","8.382554158512713","8.568754750977961"
,"7.07233737715575","8.38679727230675","8.612990785376814"
,"7.123161362337653","8.39993615818069","8.63222481848348"
,"7.131838049805199","8.437260008360592","8.655332455905965"
,"7.203660689688202","8.4504393242338","8.689734432430743"
,"7.252532877242287","8.484837934568743","8.710342711972094"
,"7.1374351271990175","8.494761621330628","8.738630348975247"
,"7.148758439731472","8.525287156240323","8.76315715664322"
,"7.1936606896882","8.532039415260858","8.79107319520949"
,"7.174984002220654","8.537813114478014","8.797474038560578"
,"7.194984002220655","8.580917832672053","8.824230844790902"
,"7.166935799848471","8.591335414012532","8.850648854946366"
,"7.221209564709835","8.606983500906257","8.867441553429497"
,"7.25743512719902","8.634306643529433","8.879588859390866"
,"7.153660689688202","8.654445704502693","8.90899384523432"
,"7.246307314753106","8.682147125815339","8.928843197156935"
,"7.284984002220654","8.688830411705789","8.958408453154329"
,"7.223161362337653","8.69520369405821","8.989514217320131"
,"7.3038561897747405","8.745302661509978","8.998944244862985"
,"7.182532877242289","8.739105334846721","9.023550710711776"
,"7.201209564709837","8.784077273897873","9.038658193609463"
,"7.282532877242288","8.777884190341576","9.05786747746659"
,"7.323856189774742","8.805813574360078","9.087488954211718"
,"7.221209564709835","8.814250463933808","9.10656281010743"
,"7.298758439731473","8.810941822786807","9.11818530554297"
